assestment;text;author;source
Fałsz;Mamy eutanazję w Holandii i już 9 proc. osób, które poddały się eutanazji, były to osoby w pełni zdrowe, które miały tylko depresję. ;Jarosław Sachajko;Sygnały Dnia, 28.01.2021
Nieweryfikowalne;Większość Polaków jest przeciwko eutanazji.;Dominik Tarczyński;Woronicza 17, 24.01.2021
Manipulacja;(wypowiedź w kontekście zmian podatkowych w Polsce założonych w budżecie na 2021 – przyp. Demagog) Belgia obniża VAT na katering, żywność i napoje bezalkoholowe do 6 proc. (...) polski rząd wprowadza podatek cukrowy, żeby żywność była droższa (...). Austria obniża VAT z 10 proc. do 5 proc. dla sektora gastronomicznego, kulturalnego i wydawniczego. Jaka jest odpowiedź polskiego rządu? Podwyższenie abonamentu radiowo-telewizyjnego (...). Irlandia obniża VAT na wszystko z 23 proc. do 21 proc. Polski rząd utrzymuje podwyższony VAT (...). Bułgaria obniża VAT w restauracjach i przemyśle rozrywkowym. (...) Polski rząd wprowadza podatek handlowy. Niemcy obniżają główną stawkę VAT z 19 proc. do 16 proc. Polski rząd co robi? Podwyższa składki na ZUS. (...) Czechy obniżają podatek PIT z 20 proc. do 15 proc. (...) Polski rząd wprowadza podatki za deszcz. Tak, będzie nowy podatek od deszczu.;Cezary Tomczyk;Posiedzenie Sejmu, 15.12.2020
Prawda;Trzy czwarte republikanów, czy wyborców republikanów, nie wierzy, że te wybory były uczciwe.;Marcin Bosacki;Wywiad Polityczny, 22.01.2021
Prawda;Badania, które posłużyły do powstania tej szczepionki (przeciw COVID-19 – przyp. Demagog), to były badania prowadzone od kilkunastu, blisko 20 lat. Najpierw po (...) wirusie SARS, później przy okazji wirusa MERS.;Daniel Milewski;Gość Wiadomości, 19.01.2021
Fałsz;Chodzi o to, żeby pod wpływem emocji takiej decyzji (o odmówieniu przyjęcia mandatu – przyp. Demagog) nie podejmować, tylko podjąć to w ciągu siedmiu dni. A teraz, jak przyjmiemy mandat, to takiej możliwości już nie ma.;Waldemar Buda;Kropka nad i, 12.01.2021
Prawda;We Wielkiej Brytanii, w Stanach farmaceuci są włączeni w proces szczepienia, apteki są włączone w proces szczepienia.;Władysław Kosiniak-Kamysz;Graffiti, 15.01.2021
Prawda;Mamy ponad 100 tys. mieszkańców domów pomocy społecznej i całodobowych placówek.;Marlena Maląg;Sygnały Dnia, 19.01.2021
Prawda;Przypomnijmy, że zgodnie z wyrokiem sądu w Opolu niekonstytucyjne są nakładane na przedsiębiorców ograniczenia wolności gospodarczej. Nie można praw obywatelskich anulować rozporządzeniem. ;Krzysztof Bosak;Gość Wydarzeń, 18.01.2021
Prawda;Z początkiem 2021 roku NFZ całkowicie zniósł limity w zakresie świadczeń psychiatrycznych dla dzieci i młodzieży.;Mateusz Morawiecki;Konferencja prasowa, 20.01.2021
Prawda;Na początku listopada, pamiętam, jak premier Morawiecki deklarował, że w przypadku osiągnięcia zakażalności, chyba na poziomie 9,5 tys., mamy do czynienia ze strefą żółtą. W strefie żółtej restauracje mogą być otwarte od godziny 06:00 do 21:00. W tej chwili, od dwóch tygodni mamy (...) taki poziom zakażalności, a jednak cały kraj jest objęty cały czas strefą czerwoną.;Paweł Kukiz;Salon Polityczny Trójki, 18.01.2021
Prawda;Krajowe Biuro Wyborcze zdecydowało, że Poczta Polska dostanie 53 miliony, a 3 miliony mają trafić na konto Polskiej Wytwórni Papierów Wartościowych, jako rekompensata za usługę pocztową Jacka Sasina, która się nie odbyła.;Marcin Kierwiński;Twitter, 8.01.2021
Manipulacja;W Niemczech MS może nakazać mediom społecznościowym usunięcie dowolnej treści pod rygorem 50 mln euro kary.;Sebastian Kaleta;Twitter, 15.01.2021
Manipulacja;W Polsce (...) dużo większy poziom braku zaufania do sztucznej inteligencji obserwujemy niż na przykład w Czechach czy na Węgrzech, mówiąc o naszych bliskich sąsiadach.;Marek Zagórski;Sygnały Dnia, 12.01.2021
Nieweryfikowalne;W ubiegłym roku nakłady na opiekę psychiatryczną dzieci i młodzieży wzrosły z około 250 mln zł do znacznie powyżej 400 mln zł.;Mateusz Morawiecki;Konferencja prasowa, 20.01.2021
Fałsz;400 lekarzy psychiatrów dziecięcych (...) są w Polsce.;Gabriela Morawska-Stanecka;Posiedzenie Senatu, 11.01.2021
Prawda;Przed wybuchem epidemii w Polsce działało prawie 3 tys. klubów fitness, do których uczęszczało nieco ponad 3 mln osób.;Michał Szczerba;Posiedzenie Sejmu, 16.12.2020
Prawda;Jeżeli chodzi o Sojusz Lewicy Demokratycznej, proszę pamiętać, że dwa razy w swojej historii przeprowadził liberalizację prawa aborcyjnego przez Sejm. Raz to zostało zawetowane przez pana prezydenta Wałęsę, raz zostało to wysadzone w kosmos przez Trybunał Konstytucyjny pod przewodnictwem pana Zolla.;Włodzimierz Czarzasty;Rzecz o Polityce, 16.12.2020
Prawda;Na szczęście skoczył nam odsetek zainteresowania szczepionką do 60 punktów proc. wśród obywateli.;Tomasz Trela;Kropka nad i, 12.01.2021
Fałsz;Mieli jakieś podejrzane konszachty, a to z instruktorem narciarskim, a to z handlarzem bronią. A pan Niedzielski objął urząd 26 sierpnia, a dopiero po dwóch miesiącach złożył wniosek do Prokuratury Generalnej o ściganie tych panów. I do dzisiaj Skarb Państwa nie otrzymał żadnej złotówki.;Leszek Miller;Gość Wydarzeń, 12.01.2021
Fałsz;Niemcy w ciągu weekendu, o czym poinformował Instytut Kocha, zaszczepili ponad 100 tys. osób.;Szymon Hołownia;Sedno Sprawy, 13.01.2020
Prawda;Osoby w wieku starszym (...) tam ta śmiertelność (na COVID-19 – przyp. Demagog) sięga, w tej szczytowej grupie, czyli w grupie najstarszych, nawet 23 proc. Czyli (...) powyżej 85. roku życia ta śmiertelność jest, w przypadku zachorowania, 23 proc. W przypadku tej najmłodszej, że tak powiem 75+, czyli 75-80 lat, to jest 13 proc. zgonów wśród osób, które zachorują. ;Katarzyna Lubnauer;Poranek Radia Tok FM, 5.01.2020
Fałsz;(...) długość naszego życia (...) spada. Już w 2017 r. i 2018 r. Polacy żyli krócej niż 2 lata wcześniej.;Izabela Leszczyna;Posiedzenie Sejmu, 15.12.2020
Fałsz;W Polsce w tej chwili, zgodnie z moimi przewidywaniami, wyrównaliśmy w tej chwili Szwecję (pod względem zgonów na COVID-19 per capita – przyp. Demagog), która nie robiła prawie nic.;Janusz Korwin-Mikke;Posiedzenie sejmowej Komisji Zdrowia, 5.01.2021
Fałsz;Prowadzimy walkę z koronawirusem. W Brazylii, w Białorusi, w Szwecji prowadzono ją w bardzo niewielkim stopniu, prawie żadnym. Dla porównania: (...) W Stanach Zjednoczonych prowadzono ogromną walkę, ogromnym kosztem, bo były wybory, gigantycznym. I zmarło, w przeliczeniu na głowę ludności, o jedną trzecią ludzi więcej niż w Brazylii.;Janusz Korwin-Mikke;Posiedzenie sejmowej Komisji Zdrowia, 5.01.2021
Manipulacja;Szczepienia, które być może ruszą 25 stycznia, nie obejmą już całej grupy seniorów, tak jak to było planowane, tylko już powyżej 70. roku życia.;Wojciech Konieczny;Tak jest, 5.01.2021
Nieweryfikowalne;W Polsce zaledwie kilka procent personelu białego (pracowników służby zdrowia – przyp. Demagog) szczepiło się na grypę.;Tomasz Latos;Tak jest, 5.01.2021
Prawda;"W tej chwili, dzisiaj, mamy ponad 250 tys. osób zaszczepionych na COVID. Z raportu Głównego Inspektora Sanitarnego i w ogóle całej Inspekcji Sanitarnej wynika, że w Polsce mieliśmy, do tej pory, w przypadku szczepienia na COVID jedynie 37 niepożądanych odczynów poszczepiennych, z czego 32 miały charakter łagodny, cztery poważny i jeden ciężki.
";Adam Niedzielski;Konferencja prasowa, 12.01.2020
Prawda;Polska jest krajem w Unii Europejskiej, który jest jednym z najbardziej pozytywnie nastawionych do Stanów Zjednoczonych.;Paweł Jabłoński;Sygnały Dnia, 8.01.2021
Fałsz;Jeżeli spojrzymy na dane (dotyczące COVID-19 – przyp. Demagog), np. Eurostatu, i spojrzymy na mapę, na której jest zaznaczona Polska, to Polska często jest zaznaczona tam szarym kolorem (...) dlatego, że dane z Polski są po prostu niewiarygodne, one nie są uznawane przez świat.;Cezary Tomczyk;Gość Radia Zet, 07.01.2020
Nieweryfikowalne;Jesteśmy poniżej średniej w UE w ilości zaszczepionych na 1 mln mieszkańców.;Katarzyna Lubnauer;Twitter, 10.01.2021
Manipulacja;Pan Gwiazdowski kiedyś z jedną z konfederacji pracodawców napisał projekt konstytucji, w którym to (...) przewidział (...) likwidację urzędu rzecznika praw obywatelskich (...), gdyż „istnienie rzecznika praw obywatelskich stanowi groźbę interwencji państwa w życie obywateli”.;Włodzimierz Czarzasty;Fakty po Faktach, 30.12.2020
Prawda;W grupie nr 1 (do szczepienia na COVID-19 – przyp. Demagog) jest ok. 10 mln osób (...), czyli seniorzy 60+, (...) przedstawiciele służb mundurowych, nauczyciele, wszyscy, których możemy znaleźć w „Narodowym Programie Szczepień”.;Michał Dworczyk;Gość Radia Zet, 4.01.2021
Prawda;3 sierpnia 2019 r. na spotkaniu we wsi Dygowo lider Prawa i Sprawiedliwości Jarosław Kaczyński powiedział następujące słowa w kontekście ustawy o ochronie ziemi: zabezpieczyliśmy polską ziemię, polska ziemia musi być dla polskich rolników. (...) oficjalne dane MSWiA, które mówią, że w 2015 r., czyli kiedy PO i PSL oddawały władzę, obcokrajowcom sprzedano 412 ha ziemi, natomiast w latach następnych, kiedy wy rządziliście, tej ziemi obcokrajowcom sprzedawane było coraz więcej? W 2017 sprzedano ponad 1 tys. ha, a w roku ubiegłym – 1349 ha.;Dariusz Klimczak;Posiedzenie Sejmu, 15.12.2020
Fałsz;Pan minister Dworczyk sam powiedział, że przecież są osoby sławne, które będą szczepione pierwsze.;Róża Thun;Poranek Radia TOK FM, 4.01.2021
Prawda;Mamy od niedawna jawną, bo wcześniej, jak informował poseł Saryusz-Wolski, była to niejawna opinia (...) Służby Prawnej Rady Unii Europejskiej z 2018 roku, która mówi jasno, że jakiekolwiek pozatraktatowe regulacje, które rozszerzają, zmieniają, czy omijają zapisy art. 7 Traktatu o Unii Europejskiej, są niezgodne z traktatami. Po prostu aktem prawa niższego rzędu, czyli rozporządzeniem, czegoś takiego (mechanizmu praworządności – przyp. Demagog) wprowadzać nie można.;Radosław Fogiel;Gość Wydarzeń, 01.12.2020
Manipulacja;Nawet NBP, który sprzyja przecież wyraźnie rządowi, twierdzi, że większość... odpowiedzialność tak naprawdę za wzrost cen, za rosnącą inflację bierze na siebie rząd, bo to rząd podnosi podatki właśnie.;Janusz Cichoń;Sygnały Dnia, 16.12.2020
Prawda;Czy osoby np. otyłe powinny się szczepić? Czy tu jest jakieś przeciwwskazanie czy wskazanie? Jest to ogromne wskazanie, szczególnie przy BMI powyżej 30, przy otyłości. Jest wskazanie, to jest jeden z elementów ryzyka w COVID-dzie i trzeba się też zaszczepić.;Władysław Kosiniak-Kamysz;Śniadanie w Polsat News, 3.01.2021
Fałsz;Osoba, która jest skutecznie zaszczepiona, ma gwarancję nie tylko, że sama nie zarazi się koronawirusem, ale również jest gwarancja, że nie będzie rozsiewała tej choroby, nie będzie transmitowała tej choroby dalej.;Michał Dworczyk;Konferencja prasowa w KPRM, 7.01.2021
Fałsz;W normalnym trybie, kiedy jeszcze lek czy też, np. mówimy teraz o szczepionkach, dopuszczona przez agencję leków, wtedy odpowiada firma. Jeżeli to jest dopuszczenie warunkowe, tak jak w tej chwili, czyli w sytuacji kryzysowej, odpowiadają państwa. I to jest od lat już zapisane w tym prawie, więc tu nie jest żadna nowość, żaden wyłom, że w tej chwili państwa będą odpowiadały za ewentualne skutki.;Waldemar Kraska;Salon polityczny Trójki, 31.12.2020
Prawda;Dziesięć lat temu @donaldtusk uciął zasiłek pogrzebowy. Od tamtej pory ta kwota stoi w miejscu, chociaż ceny rosły.;Adrian Zandberg;Twitter, 11.12.2020
Manipulacja;Mianowicie prezydent Warszawy pan Rafał Trzaskowski niedawno, jakiś czas temu wybrał koreańskie tramwaje zamiast tramwajów z bydgoskich, polskich zakładów PESA.;Paweł Rychlik;Posiedzenie Sejmu, 16.12.2020
Prawda;Tam (w szczepionce na COVID-19 – przyp. Demagog) nie ma nieaktywnego wirusa, bo to jest bardzo często zadawane pytanie do mnie, jako do lekarza, czy tam jest inaktywowany wirus, czy tam jest w ogóle jakiś element wirusa? Nie, to jest sekwencja molekularna, która uruchamia u nas produkcję przeciwciał. ;Władysław Kosiniak-Kamysz;Śniadanie w Polsat News, 3.01.2021
Fałsz;U nas (w Polsce – przyp. Demagog) 19 tys. osób straciło pracę (w czasie pandemii COVID-19 – przyp. Demagog).;Waldemar Buda;Gość Wiadomości, 10.12.2020
Prawda;Raport NIK stwierdza wręcz wprost, że Ministerstwo Sprawiedliwości nie zapewniło adekwatnej i skutecznej pomocy ofiarom przestępstw.;Katarzyna Ueberhan;Posiedzenie Sejmu, 16.12.2020
Manipulacja;W roku 2015 sięgało już 57 proc. (zadłużenie w stosunku do PKB – przyp. Demagog), blisko 60 (...). Na koniec roku 2019 ono sięgało 42 proc.;Henryk Kowalczyk;Salon polityczny Trójki, 17.12.2020
Prawda;Pani Kopacz mówiła, kiedy były inne epidemie, mówiła „cieszcie się wiosną, nie przejmujcie się niczym”.;Adam Andruszkiewicz;Woronicza 17, 27.12.2020
Fałsz;Zgodnie z zaleceniem Światowej Organizacji Zdrowia kobiety nie powinny wypijać więcej niż 20 gramów alkoholu dziennie, czyli kieliszek wina, a mężczyźni nie więcej niż 30 gramów, czyli litr piwa.;Janusz Piechociński;Twitter, 15.12.2020
Manipulacja;Żadne szczepionki u osób dorosłych w Polsce nie są w tej chwili obowiązkowe i nigdy nie były. Obowiązkowe były szczepionki dla dzieci.;Marcin Kulasek;Kwadrans polityczny, 16.12.2020
Prawda;Natomiast jeśli mówimy o ograniczeniu produkcji węgla w Polsce, to nie jest to zjawisko, które jest czymś nowym, czymś, co dopiero planujemy, bo gdybyśmy spojrzeli na ten okres od roku 1990, kiedy mieliśmy 70 kopalń i blisko 350 tysięcy pracowników w górnictwie, no to dzisiaj tych kopalń jest 20, a pracuje, tak jak mówiłem, około 80 tysięcy pracowników.;Artur Soboń;Sygnały Dnia, 04.21.2020
Manipulacja;Twierdzić można, że jest podejrzenie o zespół Downa dopiero około 20. tygodnia ciąży, wtedy kiedy dziecko jest już bliskie do tego, aby samodzielnie żyć.;Patryk Jaki;Kropka nad i, 27.10.2020
Manipulacja;Państwo w 2015 r. finansowaliście badania prenatalne w wysokości 52 621 tys. My w 2019 r. – 78 514 220 zł. Skorzystało ponad 126 tys. matek.;Józefa Szczurek-Żelazko;Posiedzenie Sejmu, 28.10.20
Fałsz;Kontrowersja przepisu polega na tym, że pozwalał on np. na aborcję na podstawie PODEJRZENIA o zespół downa, co skutkowało tym, że abortowane były nie dość, że dzieci z zespołem downa, to i 20 proc. aborcji dotyczyło dzieci zupełnie zdrowych.;Konrad Berkowicz;Instagram, 23.10.2020
Prawda;Trzy państwa w zasadzie odpowiadają za połowę globalnych emisji dwutlenku węgla: Chiny, Indie, USA. Polska odpowiada zaledwie za 1%.;Michał Urbaniak;Posiedzenie Sejmu, 16.12.2020
Prawda;Badanie kliniczne nad szczepionką (na COVID-19 – przyp. Demagog) nie pominęło żadnej fazy. 75 tys. ochotników, ogromna pula badawcza. Nie ma żadnych dowodów na to, że wpływa na płodność. (...) Ta szczepionka nie wnika do jądra komórkowego, nie zmienia naszego materiału genetycznego, nie wpływa na żadne rzeczy związane z płcią.;Władysław Kosiniak-Kamysz;Kawa na ławę, 27.12.2020
Prawda;W całej Unii Europejskiej większość państw, a tylko Malta się na to nie zgadza, (...) jest dopuszczana aborcja ze względu na wady płodu.;Krzysztof Gawkowski;Sygnały Dnia, 23.10.2020
Prawda;Rozporządzenie ministra zdrowia zakłada, że LEK, czyli Lekarski Egzamin Końcowy, zdaje w tej chwili osoba, która miała 56% poprawnych odpowiedzi.;Ryszard Majer;Posiedzenie Senatu, 26.10.2020
Prawda;W I połowie 2020 średnie ceny energii elektrycznej dla gospodarstw domowych w UE -27 nieznacznie spadły w porównaniu z pierwszą połową 2019 roku (21,6 euro za 100 kWh) i wyniosły 21,3 euro za 100 kWh. W Polsce w omawianym okresie ceny dla gospodarstw domowych wzrosły o 12,9 proc.;Janusz Piechociński;Twitter, 01.12.2020
Fałsz;Wielka Brytania jest dla nas drugim, ex aequo z Republiką Czeską, drugim partnerem handlowym.;Mateusz Morawiecki;Konferencja po szczycie unijnym, 11.12.2020
Prawda;Ceny usług finansowych świadczonych przez banki i inne instytucje wzrosły w listopadzie o 43,9 proc. rok do roku – podał GUS. PMM i KNF skomentują ?;Janusz Piechociński;Twitter, 19.12.2020
Prawda;Większa liczba mieszkań oddana w III kwartale tego roku w porównaniu do III kwartału ubiegłego roku.;Jadwiga Emilewicz;Graffiti, 17.12.2020
Prawda;Problem alkoholowy w Polsce jest jednym z największych problemów społecznych – mamy 2 proc. alkoholików i 12 proc. nadużywających alkoholu.;Katarzyna Kretkowska;Posiedzenie Sejmu, 9.12.2020
Prawda;Nawet producenci szczepionek mówią, że nie ma dowodów na to, czy wstrzymuje ona transmisję wirusa.;Krzysztof Bosak;Graffiti, 21.12.2020
Fałsz;Nie ma żadnych gwarancji, ta szczepionka (na COVID-19 – przyp. Demagog) nie jest do końca przebadana i nie ma żadnych gwarancji, czy ona nie spowoduje skutków ubocznych.;Paweł Kukiz;Poranna rozmowa w RMF FM, 22.12.2020
Fałsz;W tej chwili żadne z dużych miast nie dostało pieniędzy (z Funduszu Inwestycji Lokalnych – przyp. Demagog), ponieważ we wszystkich dużych miastach rządzi opozycja i wy nie daliście żadnemu z dużych miast, dajecie swoim.;Katarzyna Lubnauer;Tak jest, 11.12.2020
Nieweryfikowalne;3 mln dziennie kupuje się małpek.;Henryk Kowalczyk;Salon polityczny Trójki, 17.12.2020
Manipulacja;Jeśli chodzi o nieprawidłowości (...) my (Polska – przyp. Demagog) mamy 0,12 proc. spraw badanych przez OLAF, jeśli chodzi o nieprawidłowości. Średnia unijna to jest 0,36 proc., więc jesteśmy dużo poniżej średniej.;Waldemar Buda;Tak jest, 11.12.2020
Prawda;Art. 50 ustawy o szkolnictwie wyższym mówi jednoznacznie, że na teren uczelni może władza wejść, w tym wypadku policja, tylko w sytuacji zagrożenia bezpośredniego życia lub klęski żywiołowej. Żaden z tych elementów nie pojawił się w momencie, w którym policja wchodziła na teren Politechniki Warszawskiej, naruszając jej autonomię.;Katarzyna Lubnauer;Posiedzenie Sejmu, 10.12.2020
Prawda;Z raportu Najwyższej Izby Kontroli (...) wynika, iż zmalał odsetek dzieci i młodzieży w wieku 11–17 lat, podejmujących aktywność fizyczną zgodnie z wytycznymi Światowej Organizacji Zdrowia. Myślę tutaj o 60 min aktywności dziennie przez 7 dni w tygodniu. Jak podaje NIK, w 2013 r. tylko 21% dzieci spełniało ten wymóg, w 2018 r. – już tylko 15%.;Iwona Kozłowska;Posiedzenie Sejmu, 09.12.2020
Prawda;Niemcy mają wymianę gospodarczą z Polską wyższą niż z Rosją. Niemiecka wymiana gospodarcza z państwami wyszehradzkimi jest wyższa niż z Francją.;Witold Waszczykowski;Popołudniowa rozmowa w RMF FM, 9.12.2020
Prawda;Polski eksport odrabia straty. Od stycznia do września wartość polskiego eksportu towarów wyniosła 746.3 mld zł i była tylko o 1.8 procent niższa niż w analogicznym okresie poprzedniego rok.;Jarosław Gowin;Twitter, 1.12.2020
Manipulacja;Zadłużenie zagraniczne spadło o 20%.;Mateusz Morawiecki;Posiedzenie Sejmu, 9.12.2020
Prawda;W październiku tego roku (...) w Polsce zmarło ponad 15 tys. więcej osób niż rok wcześniej.;Marcin Kierwiński;Woronicza 17, 6.12.2020
Fałsz;(...) mieliśmy poziom prawie 25 tys. zachorowań (na COVID-19 – przyp. Demagog), bo to było to maksimum.;Paweł Mucha;Gość Radia Zet, 2.12.2020
Prawda; Warto zauważyć, że według najnowszych badań w ciągu trzech lat spadek zaufania do Policji to jest 20 punktów proc.;Leszek Miller;Rozmowa Piaseckiego, 25.11.2020
Manipulacja;(...) budżet Poznania. W 2015 roku wpływy z podatku PIT wynosiły nieco ponad 847 mln zł. W 2019 te wpływy to miliard 220 mln zł, ponad 360 mln zł więcej. Jeżeli doliczymy do tego jeszcze większe wpływy z CIT, to w porównaniu do sytuacji sprzed pięciu lat Poznań ma o 400 mln więcej. A to wszystko przy równoczesnym obniżeniu CIT do 9 proc. i obniżeniu PIT dla wszystkich o 1 punkt proc., do 17.;Radosław Fogiel;Gość Wydarzeń, 1.12.2020
Fałsz;Polska ma dzisiaj (...) najniższą ilość bezrobotnych, zdaje się, że obok Litwy.;Łukasz Schreiber;Gość Wydarzeń w Polsat News, 5.12.2020
Prawda;Polska znalazła się na 34. miejscu na 36 państw OECD w rankingu konkurencyjności systemów podatkowych. Chodzi o to, jak bardzo system podatkowy jest zagmatwany, jaka jest mnogość podatków, podateczków, opłat, danin, składek, akcyz, itd.;Artur Dziambor;Posiedzenie Sejmu, 9.12.2020
Prawda;W kompetencji wojewody jako reprezentanta rządu w terenie jest sprawdzanie właśnie legalności podejmowania uchwał przez samorządy. To jest w normalnej procedurze sprawdzane i w przypadku, kiedy te uchwały nie są zgodne z prawem, są uchylane.;Adam Jarubas;Gość Wiadomości, 8.12.2020
Prawda;Jeżeli jest tak, że w województwie śląskim w kwietniu roku ‘19 wykonywano 11 tys. mammografii, a w roku 2020 wykonano ich 400. (...) Jeżeli w mazowieckim (...) wykonywano mammografii, czyli badania jednych z najczęstszych nowotworów u kobiet, jaki występuje, rak piersi, wykonywano ich 8 tys. (w 2019 roku – przyp. Demagog), a w tym roku wykonano ich 380. ;Bartosz Arłukowicz;Fakty po Faktach, 2.12.2020
Prawda;Jeżeli jest tak, że w województwie śląskim w kwietniu roku ‘19 wykonywano 11 tys. mammografii, a w roku 2020 wykonano ich 400. (...) Jeżeli w mazowieckim (...) wykonywano mammografii, czyli badania jednych z najczęstszych nowotworów u kobiet, jaki występuje, rak piersi, wykonywano ich 8 tys. (w 2019 roku – przyp. Demagog), a w tym roku wykonano ich 380. ;Bartosz Arłukowicz;Fakty po Faktach, 2.12.2020
Prawda;70 proc. Polaków chce odejścia Jarosława Kaczyńskiego z rządu.;Michał Kamiński;Tłit, 30.11.2020
Prawda;Nie mogą posłowie mówić o tym, że podejmowali interwencję poselską, ponieważ w ustawie jest enumeratywnie wymienione, czym jest interwencja poselska. Tutaj, w tym przypadku nie miała ona miejsca.;Elżbieta Witek;Twitter, 08.12.20
Manipulacja;W Polsce w ogóle nie ma takiej instytucji jak referendum obligatoryjne, bo w Polsce każde referendum jest konsultacyjne.;Paweł Kukiz;Salon Polityczny Trójki, 18.11.2020
Manipulacja;To z @ZiobroPL @SolidarnaPL wprowadziliśmy #RejestrPedofilów, a w kodeksie karnym wprost pojawiło się przestępstwo ukrywania wiedzy o przypadkach wykorzystywania dzieci. Zero tolerancji niezależnie od zawodu sprawcy.;Michał Woś;Twitter, 07.12.20
Prawda;Węgry według OLAF-u, czyli instytucji walczącej z korupcją w Unii Europejskiej, są najbardziej skorumpowanym krajem w Europie, jeśli chodzi o dystrybucję funduszy europejskich.;Radosław Sikorski;Kropka nad i, 17.11.2020
Prawda;Eurobarometr dostarcza badania, z których wynika, że ponad 70 proc. Polek i Polaków jest za powiązaniem funduszy unijnych z praworządnością.;Michał Gramatyka;Wywiad Polityczny, 4.12.2020
Fałsz;Zgodnie z ustawą w tej chwili te zabiegi (aborcji – przyp. Demagog) są wykonywane, sprawozdawane są do NFZ-u i w 2019 r. nie było województwa, w którym nie był sprawozdany taki zabieg. A więc ta dostępność była zapewniona.;Józefa Szczurek-Żelazko;Posiedzenie Sejmu, 28.10.2020
Manipulacja;Od 2015 r. prawie o 30% zwiększyliśmy ilość badań prenatalnych wykonywanych u kobiet, zarówno do 35. roku życia, jak i powyżej 35. roku życia.;Józefa Szczurek-Żelazko;Posiedzenie Sejmu, 28.10.2020
Prawda;Policjanci na akcjach się nie legitymują, a mają obowiązek się legitymować.;Marcelina Zawisza;Poranek Radia TOK FM, 30.11.2020
Fałsz;(Rozpoczęcie szczepień na COVID-19 w Wielkiej Brytanii – przyp. Demagog) To wynik wyjścia GB z UE. Wszystkie kraje unijne czekają na dopuszczenie szczepionek przez Europejską Agencje Leków (EMA). Ale jak sądzę nie namawia Pan Minister, abyśmy poszli drogą GB?;Michał Dworczyk;Twitter, 3.12.2020
Prawda;Immunitet to nie jest bezkarność, immunitet to nie jest nietykalność. Poseł, nawet posiadający immunitet, może zostać zatrzymany, jeżeli dzieje się to na gorącym uczynku. Należy wyłącznie wtedy powiadomić Marszałka Sejmu, który może nakazać zwolnienie.;Radosław Fogiel;Rozmowa Piaseckiego, 24.11.2020
Fałsz;Trybunał Stanu, który osoby postępujące, polityków, niezgodnie z prawem, powinien sądzić, nie zadziałał ani razu (...) od ‘89 r.;Paweł Kukiz;Tłit, 25.11.2020
Prawda;Chciałabym tutaj przypomnieć słowa pani Beaty Szydło z 2015 roku, która zobowiązała się do tego, że za czasów Zjednoczonej Prawicy nigdy nie wyprowadzą policji, ani służb, na strajkujące i protestujące osoby.;Urszula Pasławska;Kawa na Ławę, 29.11.20
Prawda;Prawo polskie, prawo cywilne przewiduje, że dziecko od poczęcia ma już prawa do dziedziczenia.;Mirosława Stachowiak-Różecka;Gość Wiadomości, 24.11.2020
Fałsz;Ferie – 20 proc. w ogóle ludzi korzysta z takich ferii, wyjazdów. 80 proc. ludzi w ogóle zazwyczaj nie ma pieniędzy, młodzieży również, nie ma pieniędzy, żeby z nich skorzystać. ;Barbara Nowacka;Rozmowa Piaseckiego, 23.11.2020
Manipulacja;90% ofiar przemocy domowej to kobiety, a 90% jej sprawców to mężczyźni.;Małgorzata Tracz;Facebook, 16.11.2020
Prawda;Jest opracowanie (...) Helsińskiej Fundacji Praw Człowieka, dotyczące międzynarodowych standardów dla dziennikarzy, relacjonujących właśnie demonstracje, zamieszki. Tam jest jasno stwierdzone, że dziennikarz nie może angażować się po żadnej ze stron i powinien w sposób jasny, i umożliwiać policji, pomagać policji, identyfikacje.  ;Radosław Fogiel;Rozmowa Piaseckiego, 24.11.2020
Prawda;Dzisiaj ten sam premier (Mateusz Morawiecki – przyp. Demagog) chce wetować (budżet unijny – przyp. Demagog). A jeszcze niedawno mówił, że gdyby musiał to zrobić, to będzie przypominało strzelenie sobie w łeb;Leszek Miller;Poranna rozmowa w RMF FM, 19.11.2020
Prawda;Mam tu zestawienia dotyczące dwóch programów. Programu in vitro, który był stosowany w latach 2013-16, który kosztował 244 mln, 19,6 tys. par skorzystało, urodziło się 22 tys. dzieci, w sumie to było 1,13 dziecka na parę. Natomiast mamy program prokreacyjny, który zaproponował PiS. Program prokreacyjny w latach 2016-19, 46 mln, 5,7 tys. par objętych tych programem, 294 ciąże (...) czyli 0,05 ciąży na parę.;Katarzyna Lubnauer;Posiedzenie Sejmu, 28.10.2020
Fałsz;To prawda, spadła liczba wykonywanych testów. Według mojej wiedzy w ciągu ostatniego tygodnia o ok. 5%.;Michał Dworczyk;RMF FM, 16.11.2020
Prawda;163 mld euro otrzymaliśmy przez 15 lat z Unii Europejskiej. Wpłaciliśmy 53 mld składki. Zostało 110 mld na 15 lat.;Mariusz Kałużny;Twitter, 21.11.2020
Prawda;Nie ma żadnej, powtarzam to, żadnej, konstytucyjnej podstawy, by premier rządu mógł wstrzymywać ogłoszenie ustawy.;Borys Budka;Rozmowa Piaseckiego, 16.11.2020
Prawda;A chodziło 60 mln ludzi do kin w ‘19 roku, kiedy nie było pandemii. (...) To są najpopularniejsze instytucje kultury w Polsce. Na drugim miejscu, zresztą, są muzea (...) 40 mln rocznie było w zeszłym roku. ;Jarosław Sellin;Gość Radia ZET, 18.11.2020
