assestment;text
Prawda;Trzy czwarte republikanów, czy wyborców republikanów, nie wierzy, że te wybory były uczciwe.
Prawda;Badania, które posłużyły do powstania tej szczepionki (przeciw COVID-19 – przyp. Demagog), to były badania prowadzone od kilkunastu, blisko 20 lat. Najpierw po (…) wirusie SARS, później przy okazji wirusa MERS.
Fałsz;Chodzi o to, żeby pod wpływem emocji takiej decyzji (o odmówieniu przyjęcia mandatu – przyp. Demagog) nie podejmować, tylko podjąć to w ciągu siedmiu dni. A teraz, jak przyjmiemy mandat, to takiej możliwości już nie ma.
Prawda;We Wielkiej Brytanii, w Stanach farmaceuci są włączeni w proces szczepienia, apteki są włączone w proces szczepienia.
Prawda;Mamy ponad 100 tys. mieszkańców domów pomocy społecznej i całodobowych placówek.
Prawda;Przypomnijmy, że zgodnie z wyrokiem sądu w Opolu niekonstytucyjne są nakładane na przedsiębiorców ograniczenia wolności gospodarczej. Nie można praw obywatelskich anulować rozporządzeniem. 
Prawda;Z początkiem 2021 roku NFZ całkowicie zniósł limity w zakresie świadczeń psychiatrycznych dla dzieci i młodzieży.
Prawda;Na początku listopada, pamiętam, jak premier Morawiecki deklarował, że w przypadku osiągnięcia zakażalności, chyba na poziomie 9,5 tys., mamy do czynienia ze strefą żółtą. W strefie żółtej restauracje mogą być otwarte od godziny 06:00 do 21:00. W tej chwili, od dwóch tygodni mamy (…) taki poziom zakażalności, a jednak cały kraj jest objęty cały czas strefą czerwoną.
Prawda;Krajowe Biuro Wyborcze zdecydowało, że Poczta Polska dostanie 53 miliony, a 3 miliony mają trafić na konto Polskiej Wytwórni Papierów Wartościowych, jako rekompensata za usługę pocztową Jacka Sasina, która się nie odbyła.
Manipulacja;W Niemczech MS może nakazać mediom społecznościowym usunięcie dowolnej treści pod rygorem 50 mln euro kary.
Manipulacja;W Polsce (…) dużo większy poziom braku zaufania do sztucznej inteligencji obserwujemy niż na przykład w Czechach czy na Węgrzech, mówiąc o naszych bliskich sąsiadach.
Nieweryfikowalne;W ubiegłym roku nakłady na opiekę psychiatryczną dzieci i młodzieży wzrosły z około 250 mln zł do znacznie powyżej 400 mln zł.
Fałsz;400 lekarzy psychiatrów dziecięcych (…) są w Polsce.
Prawda;Przed wybuchem epidemii w Polsce działało prawie 3 tys. klubów fitness, do których uczęszczało nieco ponad 3 mln osób.
Prawda;Jeżeli chodzi o Sojusz Lewicy Demokratycznej, proszę pamiętać, że dwa razy w swojej historii przeprowadził liberalizację prawa aborcyjnego przez Sejm. Raz to zostało zawetowane przez pana prezydenta Wałęsę, raz zostało to wysadzone w kosmos przez Trybunał Konstytucyjny pod przewodnictwem pana Zolla.
Prawda;Na szczęście skoczył nam odsetek zainteresowania szczepionką do 60 punktów proc. wśród obywateli.
Fałsz;Mieli jakieś podejrzane konszachty, a to z instruktorem narciarskim, a to z handlarzem bronią. A pan Niedzielski objął urząd 26 sierpnia, a dopiero po dwóch miesiącach złożył wniosek do Prokuratury Generalnej o ściganie tych panów. I do dzisiaj Skarb Państwa nie otrzymał żadnej złotówki.
Fałsz;Niemcy w ciągu weekendu, o czym poinformował Instytut Kocha, zaszczepili ponad 100 tys. osób.
Prawda;Osoby w wieku starszym (…) tam ta śmiertelność (na COVID-19 – przyp. Demagog) sięga, w tej szczytowej grupie, czyli w grupie najstarszych, nawet 23 proc. Czyli (…) powyżej 85. roku życia ta śmiertelność jest, w przypadku zachorowania, 23 proc. W przypadku tej najmłodszej, że tak powiem 75+, czyli 75-80 lat, to jest 13 proc. zgonów wśród osób, które zachorują. 
Fałsz;(…) długość naszego życia (…) spada. Już w 2017 r. i 2018 r. Polacy żyli krócej niż 2 lata wcześniej.
Fałsz;W Polsce w tej chwili, zgodnie z moimi przewidywaniami, wyrównaliśmy w tej chwili Szwecję (pod względem zgonów na COVID-19 per capita – przyp. Demagog), która nie robiła prawie nic.
Fałsz;Prowadzimy walkę z koronawirusem. W Brazylii, w Białorusi, w Szwecji prowadzono ją w bardzo niewielkim stopniu, prawie żadnym. Dla porównania: (…) W Stanach Zjednoczonych prowadzono ogromną walkę, ogromnym kosztem, bo były wybory, gigantycznym. I zmarło, w przeliczeniu na głowę ludności, o jedną trzecią ludzi więcej niż w Brazylii.
Manipulacja;Szczepienia, które być może ruszą 25 stycznia, nie obejmą już całej grupy seniorów, tak jak to było planowane, tylko już powyżej 70. roku życia.
Nieweryfikowalne;W Polsce zaledwie kilka procent personelu białego (pracowników służby zdrowia – przyp. Demagog) szczepiło się na grypę.
Prawda;"W tej chwili, dzisiaj, mamy ponad 250 tys. osób zaszczepionych na COVID. Z raportu Głównego Inspektora Sanitarnego i w ogóle całej Inspekcji Sanitarnej wynika, że w Polsce mieliśmy, do tej pory, w przypadku szczepienia na COVID jedynie 37 niepożądanych odczynów poszczepiennych, z czego 32 miały charakter łagodny, cztery poważny i jeden ciężki.
"
Prawda;Polska jest krajem w Unii Europejskiej, który jest jednym z najbardziej pozytywnie nastawionych do Stanów Zjednoczonych.
Fałsz;Jeżeli spojrzymy na dane (dotyczące COVID-19 – przyp. Demagog), np. Eurostatu, i spojrzymy na mapę, na której jest zaznaczona Polska, to Polska często jest zaznaczona tam szarym kolorem (…) dlatego, że dane z Polski są po prostu niewiarygodne, one nie są uznawane przez świat.
Nieweryfikowalne;Jesteśmy poniżej średniej w UE w ilości zaszczepionych na 1 mln mieszkańców.
Manipulacja;Pan Gwiazdowski kiedyś z jedną z konfederacji pracodawców napisał projekt konstytucji, w którym to (…) przewidział (…) likwidację urzędu rzecznika praw obywatelskich (…), gdyż „istnienie rzecznika praw obywatelskich stanowi groźbę interwencji państwa w życie obywateli”.
Prawda;W grupie nr 1 (do szczepienia na COVID-19 – przyp. Demagog) jest ok. 10 mln osób (…), czyli seniorzy 60+, (…) przedstawiciele służb mundurowych, nauczyciele, wszyscy, których możemy znaleźć w „Narodowym Programie Szczepień”.
Prawda;3 sierpnia 2019 r. na spotkaniu we wsi Dygowo lider Prawa i Sprawiedliwości Jarosław Kaczyński powiedział następujące słowa w kontekście ustawy o ochronie ziemi: zabezpieczyliśmy polską ziemię, polska ziemia musi być dla polskich rolników. (…) oficjalne dane MSWiA, które mówią, że w 2015 r., czyli kiedy PO i PSL oddawały władzę, obcokrajowcom sprzedano 412 ha ziemi, natomiast w latach następnych, kiedy wy rządziliście, tej ziemi obcokrajowcom sprzedawane było coraz więcej? W 2017 sprzedano ponad 1 tys. ha, a w roku ubiegłym – 1349 ha.
Fałsz;Pan minister Dworczyk sam powiedział, że przecież są osoby sławne, które będą szczepione pierwsze.
Prawda;Mamy od niedawna jawną, bo wcześniej, jak informował poseł Saryusz-Wolski, była to niejawna opinia (…) Służby Prawnej Rady Unii Europejskiej z 2018 roku, która mówi jasno, że jakiekolwiek pozatraktatowe regulacje, które rozszerzają, zmieniają, czy omijają zapisy art. 7 Traktatu o Unii Europejskiej, są niezgodne z traktatami. Po prostu aktem prawa niższego rzędu, czyli rozporządzeniem, czegoś takiego (mechanizmu praworządności – przyp. Demagog) wprowadzać nie można.
Manipulacja;Nawet NBP, który sprzyja przecież wyraźnie rządowi, twierdzi, że większość… odpowiedzialność tak naprawdę za wzrost cen, za rosnącą inflację bierze na siebie rząd, bo to rząd podnosi podatki właśnie.
Prawda;Czy osoby np. otyłe powinny się szczepić? Czy tu jest jakieś przeciwwskazanie czy wskazanie? Jest to ogromne wskazanie, szczególnie przy BMI powyżej 30, przy otyłości. Jest wskazanie, to jest jeden z elementów ryzyka w COVID-dzie i trzeba się też zaszczepić.
Fałsz;Osoba, która jest skutecznie zaszczepiona, ma gwarancję nie tylko, że sama nie zarazi się koronawirusem, ale również jest gwarancja, że nie będzie rozsiewała tej choroby, nie będzie transmitowała tej choroby dalej.
Fałsz;W normalnym trybie, kiedy jeszcze lek czy też, np. mówimy teraz o szczepionkach, dopuszczona przez agencję leków, wtedy odpowiada firma. Jeżeli to jest dopuszczenie warunkowe, tak jak w tej chwili, czyli w sytuacji kryzysowej, odpowiadają państwa. I to jest od lat już zapisane w tym prawie, więc tu nie jest żadna nowość, żaden wyłom, że w tej chwili państwa będą odpowiadały za ewentualne skutki.
Prawda;Dziesięć lat temu @donaldtusk uciął zasiłek pogrzebowy. Od tamtej pory ta kwota stoi w miejscu, chociaż ceny rosły.
Manipulacja;Mianowicie prezydent Warszawy pan Rafał Trzaskowski niedawno, jakiś czas temu wybrał koreańskie tramwaje zamiast tramwajów z bydgoskich, polskich zakładów PESA.
Prawda;Tam (w szczepionce na COVID-19 – przyp. Demagog) nie ma nieaktywnego wirusa, bo to jest bardzo często zadawane pytanie do mnie, jako do lekarza, czy tam jest inaktywowany wirus, czy tam jest w ogóle jakiś element wirusa? Nie, to jest sekwencja molekularna, która uruchamia u nas produkcję przeciwciał. 
Fałsz;U nas (w Polsce – przyp. Demagog) 19 tys. osób straciło pracę (w czasie pandemii COVID-19 – przyp. Demagog).
Prawda;Raport NIK stwierdza wręcz wprost, że Ministerstwo Sprawiedliwości nie zapewniło adekwatnej i skutecznej pomocy ofiarom przestępstw.
Manipulacja;W roku 2015 sięgało już 57 proc. (zadłużenie w stosunku do PKB – przyp. Demagog), blisko 60 (…). Na koniec roku 2019 ono sięgało 42 proc.
Prawda;Pani Kopacz mówiła, kiedy były inne epidemie, mówiła „cieszcie się wiosną, nie przejmujcie się niczym”.
Fałsz;Zgodnie z zaleceniem Światowej Organizacji Zdrowia kobiety nie powinny wypijać więcej niż 20 gramów alkoholu dziennie, czyli kieliszek wina, a mężczyźni nie więcej niż 30 gramów, czyli litr piwa.
Manipulacja;Żadne szczepionki u osób dorosłych w Polsce nie są w tej chwili obowiązkowe i nigdy nie były. Obowiązkowe były szczepionki dla dzieci.
Prawda;Natomiast jeśli mówimy o ograniczeniu produkcji węgla w Polsce, to nie jest to zjawisko, które jest czymś nowym, czymś, co dopiero planujemy, bo gdybyśmy spojrzeli na ten okres od roku 1990, kiedy mieliśmy 70 kopalń i blisko 350 tysięcy pracowników w górnictwie, no to dzisiaj tych kopalń jest 20, a pracuje, tak jak mówiłem, około 80 tysięcy pracowników.
Manipulacja;Twierdzić można, że jest podejrzenie o zespół Downa dopiero około 20. tygodnia ciąży, wtedy kiedy dziecko jest już bliskie do tego, aby samodzielnie żyć.
Manipulacja;Państwo w 2015 r. finansowaliście badania prenatalne w wysokości 52 621 tys. My w 2019 r. – 78 514 220 zł. Skorzystało ponad 126 tys. matek.
Fałsz;Kontrowersja przepisu polega na tym, że pozwalał on np. na aborcję na podstawie PODEJRZENIA o zespół downa, co skutkowało tym, że abortowane były nie dość, że dzieci z zespołem downa, to i 20 proc. aborcji dotyczyło dzieci zupełnie zdrowych.
Prawda;Trzy państwa w zasadzie odpowiadają za połowę globalnych emisji dwutlenku węgla: Chiny, Indie, USA. Polska odpowiada zaledwie za 1%.
Prawda;Badanie kliniczne nad szczepionką (na COVID-19 – przyp. Demagog) nie pominęło żadnej fazy. 75 tys. ochotników, ogromna pula badawcza. Nie ma żadnych dowodów na to, że wpływa na płodność. (…) Ta szczepionka nie wnika do jądra komórkowego, nie zmienia naszego materiału genetycznego, nie wpływa na żadne rzeczy związane z płcią.
Prawda;W całej Unii Europejskiej większość państw, a tylko Malta się na to nie zgadza, (…) jest dopuszczana aborcja ze względu na wady płodu.
Prawda;Rozporządzenie ministra zdrowia zakłada, że LEK, czyli Lekarski Egzamin Końcowy, zdaje w tej chwili osoba, która miała 56% poprawnych odpowiedzi.
Prawda;W I połowie 2020 średnie ceny energii elektrycznej dla gospodarstw domowych w UE -27 nieznacznie spadły w porównaniu z pierwszą połową 2019 roku (21,6 euro za 100 kWh) i wyniosły 21,3 euro za 100 kWh. W Polsce w omawianym okresie ceny dla gospodarstw domowych wzrosły o 12,9 proc.
Fałsz;Wielka Brytania jest dla nas drugim, ex aequo z Republiką Czeską, drugim partnerem handlowym.
Prawda;Ceny usług finansowych świadczonych przez banki i inne instytucje wzrosły w listopadzie o 43,9 proc. rok do roku – podał GUS. PMM i KNF skomentują ?
Prawda;Większa liczba mieszkań oddana w III kwartale tego roku w porównaniu do III kwartału ubiegłego roku.
Prawda;Problem alkoholowy w Polsce jest jednym z największych problemów społecznych – mamy 2 proc. alkoholików i 12 proc. nadużywających alkoholu.
Prawda;Nawet producenci szczepionek mówią, że nie ma dowodów na to, czy wstrzymuje ona transmisję wirusa.
Fałsz;Nie ma żadnych gwarancji, ta szczepionka (na COVID-19 – przyp. Demagog) nie jest do końca przebadana i nie ma żadnych gwarancji, czy ona nie spowoduje skutków ubocznych.
Fałsz;W tej chwili żadne z dużych miast nie dostało pieniędzy (z Funduszu Inwestycji Lokalnych – przyp. Demagog), ponieważ we wszystkich dużych miastach rządzi opozycja i wy nie daliście żadnemu z dużych miast, dajecie swoim.
Nieweryfikowalne;3 mln dziennie kupuje się małpek.
Manipulacja;Jeśli chodzi o nieprawidłowości (…) my (Polska – przyp. Demagog) mamy 0,12 proc. spraw badanych przez OLAF, jeśli chodzi o nieprawidłowości. Średnia unijna to jest 0,36 proc., więc jesteśmy dużo poniżej średniej.
Prawda;Art. 50 ustawy o szkolnictwie wyższym mówi jednoznacznie, że na teren uczelni może władza wejść, w tym wypadku policja, tylko w sytuacji zagrożenia bezpośredniego życia lub klęski żywiołowej. Żaden z tych elementów nie pojawił się w momencie, w którym policja wchodziła na teren Politechniki Warszawskiej, naruszając jej autonomię.
Prawda;Z raportu Najwyższej Izby Kontroli (…) wynika, iż zmalał odsetek dzieci i młodzieży w wieku 11–17 lat, podejmujących aktywność fizyczną zgodnie z wytycznymi Światowej Organizacji Zdrowia. Myślę tutaj o 60 min aktywności dziennie przez 7 dni w tygodniu. Jak podaje NIK, w 2013 r. tylko 21% dzieci spełniało ten wymóg, w 2018 r. – już tylko 15%.
Prawda;Niemcy mają wymianę gospodarczą z Polską wyższą niż z Rosją. Niemiecka wymiana gospodarcza z państwami wyszehradzkimi jest wyższa niż z Francją.
Prawda;Polski eksport odrabia straty. Od stycznia do września wartość polskiego eksportu towarów wyniosła 746.3 mld zł i była tylko o 1.8 procent niższa niż w analogicznym okresie poprzedniego rok.
Manipulacja;Zadłużenie zagraniczne spadło o 20%.
Prawda;W październiku tego roku (…) w Polsce zmarło ponad 15 tys. więcej osób niż rok wcześniej.
Fałsz;(…) mieliśmy poziom prawie 25 tys. zachorowań (na COVID-19 – przyp. Demagog), bo to było to maksimum.
Prawda; Warto zauważyć, że według najnowszych badań w ciągu trzech lat spadek zaufania do Policji to jest 20 punktów proc.
Manipulacja;(…) budżet Poznania. W 2015 roku wpływy z podatku PIT wynosiły nieco ponad 847 mln zł. W 2019 te wpływy to miliard 220 mln zł, ponad 360 mln zł więcej. Jeżeli doliczymy do tego jeszcze większe wpływy z CIT, to w porównaniu do sytuacji sprzed pięciu lat Poznań ma o 400 mln więcej. A to wszystko przy równoczesnym obniżeniu CIT do 9 proc. i obniżeniu PIT dla wszystkich o 1 punkt proc., do 17.
Fałsz;Polska ma dzisiaj (…) najniższą ilość bezrobotnych, zdaje się, że obok Litwy.
Prawda;Polska znalazła się na 34. miejscu na 36 państw OECD w rankingu konkurencyjności systemów podatkowych. Chodzi o to, jak bardzo system podatkowy jest zagmatwany, jaka jest mnogość podatków, podateczków, opłat, danin, składek, akcyz, itd.
Prawda;W kompetencji wojewody jako reprezentanta rządu w terenie jest sprawdzanie właśnie legalności podejmowania uchwał przez samorządy. To jest w normalnej procedurze sprawdzane i w przypadku, kiedy te uchwały nie są zgodne z prawem, są uchylane.
Prawda;Jeżeli jest tak, że w województwie śląskim w kwietniu roku ‘19 wykonywano 11 tys. mammografii, a w roku 2020 wykonano ich 400. (…) Jeżeli w mazowieckim (…) wykonywano mammografii, czyli badania jednych z najczęstszych nowotworów u kobiet, jaki występuje, rak piersi, wykonywano ich 8 tys. (w 2019 roku – przyp. Demagog), a w tym roku wykonano ich 380. 
Prawda;70 proc. Polaków chce odejścia Jarosława Kaczyńskiego z rządu.
Prawda;Nie mogą posłowie mówić o tym, że podejmowali interwencję poselską, ponieważ w ustawie jest enumeratywnie wymienione, czym jest interwencja poselska. Tutaj, w tym przypadku nie miała ona miejsca.
Manipulacja;W Polsce w ogóle nie ma takiej instytucji jak referendum obligatoryjne, bo w Polsce każde referendum jest konsultacyjne.
Manipulacja;To z @ZiobroPL @SolidarnaPL wprowadziliśmy #RejestrPedofilów, a w kodeksie karnym wprost pojawiło się przestępstwo ukrywania wiedzy o przypadkach wykorzystywania dzieci. Zero tolerancji niezależnie od zawodu sprawcy.
Prawda;Węgry według OLAF-u, czyli instytucji walczącej z korupcją w Unii Europejskiej, są najbardziej skorumpowanym krajem w Europie, jeśli chodzi o dystrybucję funduszy europejskich.
Prawda;Eurobarometr dostarcza badania, z których wynika, że ponad 70 proc. Polek i Polaków jest za powiązaniem funduszy unijnych z praworządnością.
Fałsz;Zgodnie z ustawą w tej chwili te zabiegi (aborcji – przyp. Demagog) są wykonywane, sprawozdawane są do NFZ-u i w 2019 r. nie było województwa, w którym nie był sprawozdany taki zabieg. A więc ta dostępność była zapewniona.
Manipulacja;Od 2015 r. prawie o 30% zwiększyliśmy ilość badań prenatalnych wykonywanych u kobiet, zarówno do 35. roku życia, jak i powyżej 35. roku życia.
Prawda;Policjanci na akcjach się nie legitymują, a mają obowiązek się legitymować.
Fałsz;(Rozpoczęcie szczepień na COVID-19 w Wielkiej Brytanii – przyp. Demagog) To wynik wyjścia GB z UE. Wszystkie kraje unijne czekają na dopuszczenie szczepionek przez Europejską Agencje Leków (EMA). Ale jak sądzę nie namawia Pan Minister, abyśmy poszli drogą GB?
Prawda;Immunitet to nie jest bezkarność, immunitet to nie jest nietykalność. Poseł, nawet posiadający immunitet, może zostać zatrzymany, jeżeli dzieje się to na gorącym uczynku. Należy wyłącznie wtedy powiadomić Marszałka Sejmu, który może nakazać zwolnienie.
Fałsz;Trybunał Stanu, który osoby postępujące, polityków, niezgodnie z prawem, powinien sądzić, nie zadziałał ani razu (…) od ‘89 r.
Prawda;Chciałabym tutaj przypomnieć słowa pani Beaty Szydło z 2015 roku, która zobowiązała się do tego, że za czasów Zjednoczonej Prawicy nigdy nie wyprowadzą policji, ani służb, na strajkujące i protestujące osoby.
Prawda;Prawo polskie, prawo cywilne przewiduje, że dziecko od poczęcia ma już prawa do dziedziczenia.
Fałsz;Ferie – 20 proc. w ogóle ludzi korzysta z takich ferii, wyjazdów. 80 proc. ludzi w ogóle zazwyczaj nie ma pieniędzy, młodzieży również, nie ma pieniędzy, żeby z nich skorzystać. 
Manipulacja;90% ofiar przemocy domowej to kobiety, a 90% jej sprawców to mężczyźni.
Prawda;Jest opracowanie (…) Helsińskiej Fundacji Praw Człowieka, dotyczące międzynarodowych standardów dla dziennikarzy, relacjonujących właśnie demonstracje, zamieszki. Tam jest jasno stwierdzone, że dziennikarz nie może angażować się po żadnej ze stron i powinien w sposób jasny, i umożliwiać policji, pomagać policji, identyfikacje.  
Prawda;Dzisiaj ten sam premier (Mateusz Morawiecki – przyp. Demagog) chce wetować (budżet unijny – przyp. Demagog). A jeszcze niedawno mówił, że gdyby musiał to zrobić, to będzie przypominało strzelenie sobie w łeb
Prawda;Mam tu zestawienia dotyczące dwóch programów. Programu in vitro, który był stosowany w latach 2013-16, który kosztował 244 mln, 19,6 tys. par skorzystało, urodziło się 22 tys. dzieci, w sumie to było 1,13 dziecka na parę. Natomiast mamy program prokreacyjny, który zaproponował PiS. Program prokreacyjny w latach 2016-19, 46 mln, 5,7 tys. par objętych tych programem, 294 ciąże (…) czyli 0,05 ciąży na parę.
Fałsz;To prawda, spadła liczba wykonywanych testów. Według mojej wiedzy w ciągu ostatniego tygodnia o ok. 5%.
Prawda;163 mld euro otrzymaliśmy przez 15 lat z Unii Europejskiej. Wpłaciliśmy 53 mld składki. Zostało 110 mld na 15 lat.
Prawda;Nie ma żadnej, powtarzam to, żadnej, konstytucyjnej podstawy, by premier rządu mógł wstrzymywać ogłoszenie ustawy.
Prawda;A chodziło 60 mln ludzi do kin w ‘19 roku, kiedy nie było pandemii. (…) To są najpopularniejsze instytucje kultury w Polsce. Na drugim miejscu, zresztą, są muzea (…) 40 mln rocznie było w zeszłym roku. 
Prawda;Cała Solidarna Polska głosowała za kandydaturą Isakowicza-Zaleskiego… Prawie cała. (do Państwowej Komisji do spraw wyjaśniania przypadków czynności skierowanych przeciwko wolności seksualnej i obyczajności wobec małoletniego poniżej lat 15 – przyp. Demagog)
Fałsz;Użycie broni gładkolufowej celowanej wyżej niż powyżej pasa jest nieprzepisowe.
Prawda;Tu (w procesie przyznawania pomocy finansowej z Funduszy Wsparcia Kultury – przyp. Demagog) przede wszystkim nie było warunku, że firma musi, w większości przynajmniej swojej aktywności, zajmować się działalnością artystyczną.
Fałsz;To już pytanie nie do mnie. Za to (publikację wyroku – przyp. Demagog) odpowiada sam Trybunał (Konstytucyjny – przyp. Demagog).
Manipulacja;Amerykański koncern ogłosił, że ma szczepionkę, która na tych początkowych testach dała skuteczność 90%. To warto wspomnieć, że bardzo popularne szczepionki na grypę dają 40%-45% skuteczności, a tutaj mamy 90%.
Prawda;We mnie się krew burzy, jak słyszę głosy różnych polityków, np. (…) posła Ociepy, który mówi, że Fundusz Solidarnościowy… nic nie zostało z niego zabrane. Przecież sam głosował za tym, żeby Fundusz Solidarnościowy poszedł na trzynastki i czternastki.
Prawda; 7 stycznia 1993 r. (…) 27 lat temu. Jarosław Kaczyński podniósł rękę za kompromisem aborcyjnym.
Fałsz;Przy dużo niższym poziomie PKB, w 2009 i ‘10 r. deficyt budżetowy oscylował wokół 100 mld.
Prawda;Ostatnie badania pokazują, że 55% obywateli jest za zniesieniem zakazu handlu w niedziele, 32% ma przeciwne zdanie, a 12% nie ma żadnego zdania.
Prawda;Pan Morawiecki powoływał się na Instytut Modelowania Uniwersytetu Warszawskiego i twierdził, że oni wskazują na to, że jest związek (pomiędzy protestami a wzrostem zakażeń – przyp. Demagog), a oni się odcięli od tej informacji, powiedzieli, że absolutnie z ich badań to nie wynika.
Fałsz;Wśród liderek Strajku Kobiet jest pani, która mówi, że katolicy nie powinni pełnić funkcji publicznych w państwie polskim. 
Prawda;Jesteśmy w sytuacji, w której (…) piątym byliśmy wczoraj (5 listopada – przyp. Demagog) krajem na świecie, jeżeli chodzi o liczbę zakażeń. Przed nami były Włochy z 34 tys., tylko że oni zrobili 220 tys. testów.
Prawda;Raport NIK wyraźnie mówi, że dostępność na wsi kobiet do gabinetów ginekologicznych jest na poziomie niewielkim. Niewielki, tzn.: 2%, tak naprawdę, kobiet przeprowadza pełne badania w okresie ciąży, 78% kobiet nie robi podstawowych badań w okresie ciąży, które zaleca lekarz, 20% kobiet nie ma nawet dokumentacji przebiegu ciąży.
Prawda;W roku ‘97 zupełnie inny Trybunał (Konstytucyjny – przyp. Demagog) orzekł, że aborcja na życzenie, z tzw. przyczyn społecznych, jest również niezgodna z konstytucją i z zasadą ochrony życia.
Prawda;Jak wszyscy pamiętamy, prof. Lech Kaczyński był zwolennikiem kompromisu aborcyjnego. 
Prawda;Właśnie mija 6 lat od wyroku Trybunału Konstytucyjnego na temat świadczeń dla (…) opiekunów dorosłych osób z niepełnosprawnościami. Wciąż nie wykonaliście tego wyroku. (…) Opiekunowie dorosłych osób z niepełnosprawnościami wciąż otrzymują zaledwie 620 zł netto miesięcznie.
Manipulacja;Jak rozumiem, chodzi pani o wyrok Trybunału Konstytucyjnego, który wzbudza ostatnio tyle emocji i dyskusji. To zależy od Rządowego Centrum Legislacji, które publikuje wyroki. (…) Ja powtórzę, to nie premier publikuje ten wyrok.
Manipulacja;Mamy dzisiaj w Polsce, Wysoka Izbo, bardzo wysoki stan zagrożenia z powodu epidemii. (…) Otóż ten stan wyklucza jakiekolwiek spotkania, publiczne, powyżej 5 osób.
Fałsz;Drugie największe lotnisko w Wielkiej Brytanii przekształcone w kostnicę.
Fałsz;Średnia płaca prokuratorów w IPN to 17 tysięcy zł.
Fałsz;W Polsce rocznie odnotowuje się 6 tys. samobójstw.
Nieweryfikowalne;8 na 10 mężczyzn w momencie, kiedy dowiaduje się, że ich kobieta rodzi niepełnosprawne dziecko, to zostawiają kobietę samą.
Prawda;Dzisiaj liczba zakażeń w Polsce jest większa niż w Niemczech, które mają dwa razy więcej ludności niż Polska.
Prawda;Pan minister Kraska 6 tygodni temu: „Druga fala koronawirusa będzie łagodniejsza, możemy przekroczyć liczbę tysiąca zakażeń dziennie”.
Fałsz;Na 120, 130 protestów, które odbyły się w niedzielę, pod kuriami, pod kościołami, przed budynkami, tak naprawdę tylko w trzech przypadkach były takie sytuacje, w których kobiety zdecydowały się wejść do kościoła. Naprawdę, nie było ich więcej.
Fałsz;Luka VAT-owska jest wyższa niż w Unii Europejskiej, średnia.
Fałsz;Możliwość przerwania ciąży wtedy, kiedy ciąża jest z wyniku czynu zabronionego, czyli z gwałtu lub z kazirodztwa, lub gdy (…) zagraża życiu matki. Co jest w tej chwili około 20% dokonywanych aborcji, kilkanaście rocznie.
Prawda;Jarosław Kaczyński powiedział kiedyś, że on by chciał, żeby nawet ciąże, które są poważnie uszkodzone, doprowadzały do porodu, chociażby po to, żeby móc takie nowonarodzone, niezdolne do przeżycia dziecko ochrzcić.
Fałsz;99% aborcji to dzieci z „podejrzeniem” ZD (zespołu Downa – przyp. Demagog).
Prawda;Konfederacja jest jedynym klubem/kołem w Sejmie, którego 100% posłów podpisało się pod wnioskiem do TK, który doprowadził do dzisiejszego rozstrzygnięcia.
Fałsz;Wtedy każdego dnia była coraz mniejsza liczba zakażeń i premier powiedział, że wirus jest w odwrocie.
Prawda;Na pierwsze 100 tys. zachorowań potrzebowaliśmy 216 dni, na drugą setkę – 100 tys. – 17 dni
Prawda; Ile w tej chwili miejsc rezydenckich jest na choroby zakaźne? Tylko 137.
Prawda;30% młodych ludzi (w Polsce – przyp. Demagog) nie wierzy w pandemię.
Prawda;Strategia Bezpieczeństwa Narodowego z maja tego roku, jak dobrze pamiętam, definiuje potrzebę stworzenia takiego ośrodka koordynacyjnego dla polityki bezpieczeństwa państwa, więc to nie jest stworzony komitet dla Jarosława Kaczyńskiego, tylko to było zapisane, że resorty obrony, spraw wewnętrznych, sprawiedliwości powinny skoordynować swoje działania.
Prawda;Od początku pandemii w Polsce zmarło 3 tys. osób zarażonych koronawirusem. We Francji, we Włoszech, w Wielkiej Brytanii 10 razy więcej.
Fałsz;Nawet w 80-90% wyniki testów RT-PCR (testy na koronawirusa – przyp. Demagog) są błędne – czyli fałszywie pozytywne.
Manipulacja;Krzyczącym, że powinienem był budować szpitale, nie stadiony, pragnę przypomnieć, że w latach 2005-2007, za rządów Kaczyńskiego, w Polsce liczba szpitali zmniejszyła się o 33, gdy za naszych rządów zwiększyła się o 208. Po 2015 znowu zaczęła spadać.
Manipulacja;300 ponad przypadków (zachorowań na COVID-19 – przyp. Demagog) w Hiszpanii na 100 tys. mieszkańców, u nas 29.
Prawda;Przemysław Czarnek zdobył rekordowy wynik na Lubelszczyźnie, z drugiego miejsca. To był, według mnie, drugi największy, najwyższy wynik w Polsce, jeśli chodzi o osoby kandydujące z drugiego miejsca.
Prawda;Co 25 września tego roku (…) powiedział Andrzej Duda, nasz prezydent? „Pandemia jest pod kontrolą, od połowy października spodziewamy się wypłaszczenia”.
Prawda;Niemcy ostatnie czternaście dni – 38 tys., Polska – 38 tys., Czechy – 52 tys., Francja – 200 tys., Wielka Brytania – 170 tys.
Prawda;Dzisiaj już ponad 1000 szkół w nauczaniu hybrydowym i nauczaniu online.
Prawda;Jeśli chodzi o listy (ambasadorów w sprawie osób LGBT – przyp. Demagog), to dokładnie takie same listy były w 2013 roku, w 2014, w 2015.
